Open,High,Low,Close,Volume,Dividends,MA5 hyper,MA10 fast,MA50 medium,MA200 long,MA233 long,MA292 long,Crossover,Close1,Profit,Wealth
26.75,26.770000457763672,26.1200008392334,26.18000030517578,24806900,0.0,26.268000030517577,25.75099983215332,24.922199935913085,25.776699924468993,24.978154456666612,25.690958839573273,1,25.8799991607666,-0.3000011444091797,-0.3000011444091797
25.81999969482422,26.110000610351562,25.600000381469727,25.8799991607666,46539700,0.0,26.261999893188477,25.90199966430664,24.89739990234375,25.797799921035768,24.996523550139987,25.648664317718925,1,26.049999237060547,0.1700000762939453,-0.13000106811523438
25.989999771118164,26.1299991607666,25.719999313354492,26.049999237060547,27526300,0.0,26.215999603271484,26.03599967956543,24.877599868774414,25.81809991836548,25.02085831441593,25.62133555216332,1,26.1299991607666,0.07999992370605469,-0.05000114440917969
26.100000381469727,26.299999237060547,25.969999313354492,26.1299991607666,28221600,0.0,26.17799949645996,26.100999641418458,24.86659984588623,25.837399911880492,25.04201710582291,25.604657467097454,1,26.510000228881836,0.3800010681152344,0.3299999237060547
26.31999969482422,26.530000686645508,26.049999237060547,26.510000228881836,82635600,0.0,26.149999618530273,26.171999740600587,24.860399856567383,25.86079991340637,25.07051495728063,25.58585609801828,1,34.36000061035156,7.850000381469727,8.180000305175781
33.540000915527344,34.880001068115234,32.75,34.36000061035156,365457900,0.0,27.78599967956543,27.026999855041502,25.00619987487793,25.922849912643432,25.13622311768102,25.590410898809562,1,34.0099983215332,-0.3500022888183594,7.829998016357422
33.77000045776367,34.72999954223633,33.560001373291016,34.0099983215332,136028900,0.0,29.41199951171875,27.836999702453614,25.1543998336792,25.988349905014037,25.196308946404844,25.59760267440587,1,35.43000030517578,1.4200019836425781,9.25
34.06999969482422,35.630001068115234,34.0099983215332,35.43000030517578,124718800,0.0,31.2879997253418,28.75199966430664,25.340399856567384,26.063499908447266,25.266137274549756,25.620171168079114,1,37.630001068115234,2.200000762939453,11.450000762939453
35.650001525878906,37.959999084472656,35.31999969482422,37.630001068115234,173582800,0.0,33.58800010681152,29.88299980163574,25.567999877929687,26.15049991607666,25.344205946369744,25.65249993703137,1,36.79999923706055,-0.8300018310546875,10.619998931884766
37.959999084472656,38.310001373291016,36.33000183105469,36.79999923706055,154828700,0.0,35.645999908447266,30.89799976348877,25.788799858093263,26.236299915313722,25.418712378571474,25.677157467358732,1,37.4900016784668,0.69000244140625,11.310001373291016
37.29999923706055,38.290000915527344,36.91999816894531,37.4900016784668,106066500,0.0,36.27200012207031,32.02899990081787,26.025399894714354,26.324999923706056,25.496308952953683,25.710616379568023,1,38.04999923706055,0.55999755859375,11.869998931884766
37.65999984741211,38.4900016784668,37.5,38.04999923706055,73058500,0.0,37.08000030517578,33.24599990844727,26.283199882507326,26.41764991760254,25.5774248311448,25.748801309768467,1,39.189998626708984,1.1399993896484375,13.009998321533203
38.43000030517578,39.31999969482422,38.25,39.189998626708984,79994800,0.0,37.831999969482425,34.55999984741211,26.565799865722656,26.515999908447267,25.662617957643175,25.794417740547495,1,38.54999923706055,-0.6399993896484375,12.369998931884766
39.11000061035156,39.25,37.939998626708984,38.54999923706055,63950800,0.0,38.01599960327148,35.8019998550415,26.85059986114502,26.611349906921387,25.74609434758133,25.834623219215707,1,38.869998931884766,0.31999969482421875,12.689998626708984
38.61000061035156,38.939998626708984,37.70000076293945,38.869998931884766,68854800,0.0,38.42999954223633,37.0379997253418,27.145999832153322,26.706299905776977,25.830987046204925,25.87763691601688,1,38.540000915527344,-0.3299980163574219,12.360000610351562
39.130001068115234,39.189998626708984,38.43000030517578,38.540000915527344,41301000,0.0,38.63999938964844,37.455999755859374,27.450399856567383,26.804099912643434,25.918884048134473,25.916815000037623,1,38.5,-0.04000091552734375,12.319999694824219
38.59000015258789,38.7400016784668,38.0099983215332,38.5,43532300,0.0,38.72999954223633,37.90499992370606,27.72939987182617,26.901599912643434,26.00802568100041,25.956164314322276,1,38.220001220703125,-0.279998779296875,12.040000915527344
38.20000076293945,38.5,38.099998474121094,38.220001220703125,31161000,0.0,38.53600006103515,38.18400001525879,28.00679988861084,26.996099920272826,26.092317532060484,25.993219114329715,1,37.02000045776367,-1.2000007629394531,10.84000015258789
38.2400016784668,38.31999969482422,36.77000045776367,37.02000045776367,65379200,0.0,38.23000030517578,38.12299995422363,28.27019989013672,27.083699922561646,26.16982826756817,26.02660952528862,1,36.650001525878906,-0.3699989318847656,10.470001220703125
36.83000183105469,37.54999923706055,36.619998931884766,36.650001525878906,48423900,0.0,37.78600082397461,38.10800018310547,28.532799911499023,27.15079993247986,26.2456651859529,26.055239664365168,1,36.560001373291016,-0.09000015258789062,10.380001068115234
36.36000061035156,37.06999969482422,36.02000045776367,36.560001373291016,56521100,0.0,37.390000915527345,38.01500015258789,28.805999946594238,27.2207999420166,26.32184545164968,26.07767117513369,1,37.08000183105469,0.5200004577636719,10.900001525878906
36.970001220703125,37.4900016784668,36.900001525878906,37.08000183105469,45840800,0.0,37.10600128173828,37.91800041198731,29.08819999694824,27.296499948501587,26.397596531159888,26.097088990146165,1,37.810001373291016,0.7299995422363281,11.630001068115234
37.43000030517578,38.279998779296875,37.13999938964844,37.810001373291016,57609600,0.0,37.02400131225586,37.78000068664551,29.378600006103515,27.379999952316282,26.470042887675405,26.117294474823833,1,38.40999984741211,0.5999984741210938,12.229999542236328
