Open,High,Low,Close,Volume,Dividends,Stock Splits,Forward Close,Forward Return,SMA,input
42.04999923706055,45.0,38.0,38.22999954223633,573576400,0.0,0.0,31.90999984741211,-0.16531519148573132,,0
36.529998779296875,36.65999984741211,33.0,34.029998779296875,168192700,0.0,0.0,28.84000015258789,-0.15251245409583936,,0
32.61000061035156,33.59000015258789,30.940000534057617,31.0,101786600,0.0,0.0,28.190000534057617,-0.09064514406265752,,0
31.3700008392334,32.5,31.360000610351562,32.0,73600000,0.0,0.0,29.600000381469727,-0.07499998807907104,,0
32.95000076293945,33.209999084472656,31.770000457763672,33.029998779296875,50237200,0.0,0.0,27.719999313354492,-0.16076293255180735,,0
32.900001525878906,32.95000076293945,31.110000610351562,31.90999984741211,37149800,0.0,0.0,26.899999618530273,-0.15700408188150292,,0
31.479999542236328,31.690000534057617,28.649999618530273,28.84000015258789,78063400,0.0,0.0,25.8700008392334,-0.10298194513317248,,0
28.700000762939453,29.549999237060547,27.860000610351562,28.190000534057617,57267900,0.0,0.0,26.809999465942383,-0.04895356658287369,,0
28.549999237060547,29.670000076293945,26.829999923706055,29.600000381469727,111639200,0.0,0.0,26.309999465942383,-0.11114867814619891,,0
28.889999389648438,29.149999618530273,27.389999389648438,27.719999313354492,41855500,0.0,0.0,27.100000381469727,-0.022366484388261602,,0
27.200000762939453,27.649999618530273,26.440000534057617,26.899999618530273,35230300,0.0,0.0,27.010000228881836,0.004089242078493849,,0
26.700000762939453,27.760000228881836,25.75,25.8700008392334,42473400,0.0,0.0,27.399999618530273,0.059141814057328546,,0
26.06999969482422,27.170000076293945,25.520000457763672,26.809999465942383,61489200,0.0,0.0,27.270000457763672,0.017157814285138025,,0
27.0,27.350000381469727,26.149999618530273,26.309999465942383,26159500,0.0,0.0,28.290000915527344,0.07525661306637509,,0
26.549999237060547,27.760000228881836,26.440000534057617,27.100000381469727,38034000,0.0,0.0,30.010000228881836,0.10738006665866659,,0
27.18000030517578,28.06999969482422,26.84000015258789,27.010000228881836,28219600,0.0,0.0,31.40999984741211,0.16290261315234447,,0
27.479999542236328,27.770000457763672,26.959999084472656,27.399999618530273,15816800,0.0,0.0,31.90999984741211,0.1645985507909197,,0
27.65999984741211,28.100000381469727,27.100000381469727,27.270000457763672,17102800,0.0,0.0,31.600000381469727,0.1587825394580556,,0
27.649999618530273,28.31999969482422,27.3799991607666,28.290000915527344,16855000,0.0,0.0,31.84000015258789,0.1254860064395432,,0
28.510000228881836,30.100000381469727,28.350000381469727,30.010000228881836,43563800,0.0,0.0,33.04999923706055,0.10129953298877334,,0
29.959999084472656,32.08000183105469,29.40999984741211,31.40999984741211,42978900,0.0,0.0,32.060001373291016,0.020694095161941248,,0
31.540000915527344,32.18000030517578,30.700000762939453,31.90999984741211,30849000,0.0,0.0,33.099998474121094,0.037292341974282175,,0
31.920000076293945,31.93000030517578,31.149999618530273,31.600000381469727,15553600,0.0,0.0,32.22999954223633,0.019936682062068382,,0
31.670000076293945,32.5,31.510000228881836,31.84000015258789,21875300,0.0,0.0,31.360000610351562,-0.015075362435176206,,0
32.40999984741211,33.45000076293945,32.060001373291016,33.04999923706055,74834000,0.0,0.0,31.100000381469727,-0.0590014795947164,,0
32.86000061035156,33.02000045776367,31.549999237060547,32.060001373291016,24352900,0.0,0.0,30.770000457763672,-0.040237082354027454,,0
32.689998626708984,33.439998626708984,32.5,33.099998474121094,24858700,0.0,0.0,31.200000762939453,-0.05740174618639741,,0
32.459999084472656,32.900001525878906,31.899999618530273,32.22999954223633,28568000,0.0,0.0,31.469999313354492,-0.02358052248452195,,0
31.959999084472656,32.189998626708984,30.899999618530273,31.360000610351562,17713300,0.0,0.0,31.729999542236328,0.0117984350983282,,0
31.920000076293945,31.989999771118164,30.760000228881836,31.100000381469727,19526900,0.0,0.0,32.16999816894531,0.03440507313026019,,0
31.25,31.729999542236328,30.549999237060547,30.770000457763672,14122000,0.0,0.0,31.469999313354492,0.02274939373340833,,0
30.90999984741211,31.440000534057617,30.799999237060547,31.200000762939453,8763600,0.0,0.0,30.969999313354492,-0.007371841152586297,,0
31.31999969482422,31.6299991607666,31.020000457763672,31.469999313354492,10032100,0.0,0.0,30.809999465942383,-0.02097235023236986,,0
31.440000534057617,31.899999618530273,31.260000228881836,31.729999542236328,10945600,0.0,0.0,30.719999313354492,-0.031831082365362404,,0
32.099998474121094,32.880001068115234,31.989999771118164,32.16999816894531,17785200,0.0,0.0,28.25,-0.121852607773208,,0
32.43000030517578,32.47999954223633,31.15999984741211,31.469999313354492,14269500,0.0,0.0,28.09000015258789,-0.10740385238369794,,0
31.479999542236328,31.559999465942383,30.549999237060547,30.969999313354492,13030300,0.0,0.0,29.110000610351562,-0.06005808021445078,,0
30.700000762939453,31.399999618530273,30.600000381469727,30.809999465942383,11300700,0.0,0.0,29.0,-0.05874714369739508,,0
31.040000915527344,31.06999969482422,30.559999465942383,30.719999313354492,8108300,0.0,0.0,28.760000228881836,-0.06380205495709801,,0
30.5,30.5,28.209999084472656,28.25,24672100,0.0,0.0,28.75,0.017699115044247787,,0
28.479999542236328,28.59000015258789,27.149999618530273,28.09000015258789,30438600,0.0,0.0,28.450000762939453,0.012815970395016042,,0
28.309999465942383,29.290000915527344,28.149999618530273,29.110000610351562,16841800,0.0,0.0,29.34000015258789,0.00790104903517384,,0
29.40999984741211,29.5,28.6299991607666,29.0,13685100,0.0,0.0,26.850000381469727,-0.07413791788035426,,0
